energy_rank,model_number,backrub_repack_REU,backrub_repack_constraint_REU,fastrelax_REU,fastrelax_constraint_REU,delta_from_original_REU,accepted_moves,backrub_trials,constraints_added,pre_fastrelax_pdb,final_fastrelax_pdb
1,8,553.0098460558545,553.1427455623626,496.1081317689534,496.22417102704753,-23.40312465651607,172,250,1701,/mnt/c/Users/kevin/Downloads/A165D open fastrelax/5goa_A165D_open_backrub_repack_before_fastrelax_08.pdb,/mnt/c/Users/kevin/Downloads/A165D open fastrelax/5goa_A165D_open_backrub_fastrelax_08.pdb
2,20,564.9980167418125,565.105787778245,496.3542526401354,496.5443138380722,-23.15700378533404,178,250,1701,/mnt/c/Users/kevin/Downloads/A165D open fastrelax/5goa_A165D_open_backrub_repack_before_fastrelax_20.pdb,/mnt/c/Users/kevin/Downloads/A165D open fastrelax/5goa_A165D_open_backrub_fastrelax_20.pdb
3,6,551.2390574010992,551.2972758430926,498.9948244311465,499.08072519320945,-20.516431994322943,162,250,1701,/mnt/c/Users/kevin/Downloads/A165D open fastrelax/5goa_A165D_open_backrub_repack_before_fastrelax_06.pdb,/mnt/c/Users/kevin/Downloads/A165D open fastrelax/5goa_A165D_open_backrub_fastrelax_06.pdb
4,12,573.164763844831,573.3402187660182,499.9560074237224,500.0657400108352,-19.555249001747086,171,250,1701,/mnt/c/Users/kevin/Downloads/A165D open fastrelax/5goa_A165D_open_backrub_repack_before_fastrelax_12.pdb,/mnt/c/Users/kevin/Downloads/A165D open fastrelax/5goa_A165D_open_backrub_fastrelax_12.pdb
5,4,574.5322197154077,574.594705052738,502.0525988845709,502.0990819495521,-17.45865754089857,161,250,1701,/mnt/c/Users/kevin/Downloads/A165D open fastrelax/5goa_A165D_open_backrub_repack_before_fastrelax_04.pdb,/mnt/c/Users/kevin/Downloads/A165D open fastrelax/5goa_A165D_open_backrub_fastrelax_04.pdb
