energy_rank,model_number,backrub_repack_REU,backrub_repack_constraint_REU,fastrelax_REU,fastrelax_constraint_REU,delta_from_original_REU,accepted_moves,backrub_trials,constraints_added,pre_fastrelax_pdb,final_fastrelax_pdb
1,13,480.73097538126717,480.8210618854947,416.30821555585976,416.3938313960109,-6.753995436421064,183,250,1712,/mnt/c/Users/kevin/Downloads/K167A open fastrelax/5goa_K167A_open_backrub_repack_before_fastrelax_13.pdb,/mnt/c/Users/kevin/Downloads/K167A open fastrelax/5goa_K167A_open_backrub_fastrelax_13.pdb
2,17,471.6785466217864,471.72841594653386,416.5479011244493,416.7252646636444,-6.514309867831514,170,250,1712,/mnt/c/Users/kevin/Downloads/K167A open fastrelax/5goa_K167A_open_backrub_repack_before_fastrelax_17.pdb,/mnt/c/Users/kevin/Downloads/K167A open fastrelax/5goa_K167A_open_backrub_fastrelax_17.pdb
3,4,492.4012914764468,492.55874925554787,417.47362806318193,417.66306499388344,-5.588582929098891,163,250,1712,/mnt/c/Users/kevin/Downloads/K167A open fastrelax/5goa_K167A_open_backrub_repack_before_fastrelax_04.pdb,/mnt/c/Users/kevin/Downloads/K167A open fastrelax/5goa_K167A_open_backrub_fastrelax_04.pdb
4,20,494.1779265909963,494.2607772319579,418.78111850115704,418.9034388536385,-4.281092491123786,172,250,1712,/mnt/c/Users/kevin/Downloads/K167A open fastrelax/5goa_K167A_open_backrub_repack_before_fastrelax_20.pdb,/mnt/c/Users/kevin/Downloads/K167A open fastrelax/5goa_K167A_open_backrub_fastrelax_20.pdb
5,10,471.33495600830906,471.4617432090326,419.2131536828247,419.41600903489604,-3.8490573094561,172,250,1712,/mnt/c/Users/kevin/Downloads/K167A open fastrelax/5goa_K167A_open_backrub_repack_before_fastrelax_10.pdb,/mnt/c/Users/kevin/Downloads/K167A open fastrelax/5goa_K167A_open_backrub_fastrelax_10.pdb
