energy_rank,model_number,backrub_repack_REU,backrub_repack_constraint_REU,fastrelax_REU,fastrelax_constraint_REU,delta_from_original_REU,accepted_moves,backrub_trials,constraints_added,pre_fastrelax_pdb,final_fastrelax_pdb
1,16,-1250.3651366335932,-1250.2746966825591,-1300.4053701548044,-1300.334221562189,-22.209190872950103,153,250,1862,/mnt/c/Users/kevin/Downloads/K167A closed fastrelax/5go9_K167A_closed_backrub_repack_before_fastrelax_16.pdb,/mnt/c/Users/kevin/Downloads/K167A closed fastrelax/5go9_K167A_closed_backrub_fastrelax_16.pdb
2,14,-1225.8206620165931,-1225.7203548223335,-1299.0611461224903,-1298.9858185398016,-20.864966840636043,155,250,1862,/mnt/c/Users/kevin/Downloads/K167A closed fastrelax/5go9_K167A_closed_backrub_repack_before_fastrelax_14.pdb,/mnt/c/Users/kevin/Downloads/K167A closed fastrelax/5go9_K167A_closed_backrub_fastrelax_14.pdb
3,7,-1226.477886830828,-1226.345155628322,-1298.0217428685764,-1297.9818819436668,-19.825563586722183,171,250,1862,/mnt/c/Users/kevin/Downloads/K167A closed fastrelax/5go9_K167A_closed_backrub_repack_before_fastrelax_07.pdb,/mnt/c/Users/kevin/Downloads/K167A closed fastrelax/5go9_K167A_closed_backrub_fastrelax_07.pdb
4,4,-1226.71110173456,-1226.672272716194,-1297.4137736334274,-1297.3599048480278,-19.217594351573098,164,250,1862,/mnt/c/Users/kevin/Downloads/K167A closed fastrelax/5go9_K167A_closed_backrub_repack_before_fastrelax_04.pdb,/mnt/c/Users/kevin/Downloads/K167A closed fastrelax/5go9_K167A_closed_backrub_fastrelax_04.pdb
5,1,-1201.3938522569485,-1201.2676902597746,-1296.9695159935493,-1296.885719240801,-18.773336711695038,144,250,1862,/mnt/c/Users/kevin/Downloads/K167A closed fastrelax/5go9_K167A_closed_backrub_repack_before_fastrelax_01.pdb,/mnt/c/Users/kevin/Downloads/K167A closed fastrelax/5go9_K167A_closed_backrub_fastrelax_01.pdb
