energy_rank,model_number,backrub_repack_REU,backrub_repack_constraint_REU,fastrelax_REU,fastrelax_constraint_REU,delta_from_original_REU,accepted_moves,backrub_trials,constraints_added,pre_fastrelax_pdb,final_fastrelax_pdb
1,18,1676.851132540509,1677.0757770079688,1600.289246647022,1600.4106339158297,-9.814444139970647,169,250,1703,/mnt/c/Users/kevin/Downloads/K174A open fastrelax/5goa_K174A_open_backrub_repack_before_fastrelax_18.pdb,/mnt/c/Users/kevin/Downloads/K174A open fastrelax/5goa_K174A_open_backrub_fastrelax_18.pdb
2,7,1669.7576216474881,1669.9007600324235,1601.611559688449,1601.683210590387,-8.492131098543723,186,250,1703,/mnt/c/Users/kevin/Downloads/K174A open fastrelax/5goa_K174A_open_backrub_repack_before_fastrelax_07.pdb,/mnt/c/Users/kevin/Downloads/K174A open fastrelax/5goa_K174A_open_backrub_fastrelax_07.pdb
3,15,1678.8517637196096,1678.9312222301935,1602.1093360910156,1602.242854995047,-7.994354695977108,176,250,1703,/mnt/c/Users/kevin/Downloads/K174A open fastrelax/5goa_K174A_open_backrub_repack_before_fastrelax_15.pdb,/mnt/c/Users/kevin/Downloads/K174A open fastrelax/5goa_K174A_open_backrub_fastrelax_15.pdb
4,1,1637.06947358614,1637.16876243392,1602.9132412377594,1603.006914391979,-7.190449549233335,156,250,1703,/mnt/c/Users/kevin/Downloads/K174A open fastrelax/5goa_K174A_open_backrub_repack_before_fastrelax_01.pdb,/mnt/c/Users/kevin/Downloads/K174A open fastrelax/5goa_K174A_open_backrub_fastrelax_01.pdb
5,19,1662.4507815342688,1662.5337011179545,1603.5604384411317,1603.6615679725865,-6.543252345860992,180,250,1703,/mnt/c/Users/kevin/Downloads/K174A open fastrelax/5goa_K174A_open_backrub_repack_before_fastrelax_19.pdb,/mnt/c/Users/kevin/Downloads/K174A open fastrelax/5goa_K174A_open_backrub_fastrelax_19.pdb
