energy_rank,model_number,backrub_repack_REU,backrub_repack_constraint_REU,fastrelax_REU,fastrelax_constraint_REU,delta_from_original_REU,accepted_moves,backrub_trials,constraints_added,pre_fastrelax_pdb,final_fastrelax_pdb
1,12,-1135.618334113044,-1135.5320709370633,-1220.2602978682523,-1220.100956287252,-12.246508725685317,168,250,1860,/mnt/c/Users/kevin/Downloads/K174A closed fastrelax/5go9_K174A_closed_backrub_repack_before_fastrelax_12.pdb,/mnt/c/Users/kevin/Downloads/K174A closed fastrelax/5go9_K174A_closed_backrub_fastrelax_12.pdb
2,20,-1143.0052444682574,-1142.8614847264537,-1219.6963063867279,-1219.5752772473688,-11.682517244160863,164,250,1860,/mnt/c/Users/kevin/Downloads/K174A closed fastrelax/5go9_K174A_closed_backrub_repack_before_fastrelax_20.pdb,/mnt/c/Users/kevin/Downloads/K174A closed fastrelax/5go9_K174A_closed_backrub_fastrelax_20.pdb
3,17,-1125.2432868646315,-1125.158125006327,-1219.3137501701885,-1219.2096502046325,-11.29996102762152,168,250,1860,/mnt/c/Users/kevin/Downloads/K174A closed fastrelax/5go9_K174A_closed_backrub_repack_before_fastrelax_17.pdb,/mnt/c/Users/kevin/Downloads/K174A closed fastrelax/5go9_K174A_closed_backrub_fastrelax_17.pdb
4,2,-1117.9474479098608,-1117.8081652642618,-1219.2802990755558,-1219.1775323155393,-11.26650993298881,178,250,1860,/mnt/c/Users/kevin/Downloads/K174A closed fastrelax/5go9_K174A_closed_backrub_repack_before_fastrelax_02.pdb,/mnt/c/Users/kevin/Downloads/K174A closed fastrelax/5go9_K174A_closed_backrub_fastrelax_02.pdb
5,6,-1132.6612238525165,-1132.5813525985573,-1216.2087423669782,-1216.0615584902002,-8.194953224411165,169,250,1860,/mnt/c/Users/kevin/Downloads/K174A closed fastrelax/5go9_K174A_closed_backrub_repack_before_fastrelax_06.pdb,/mnt/c/Users/kevin/Downloads/K174A closed fastrelax/5go9_K174A_closed_backrub_fastrelax_06.pdb
